Job Title,Function,Category,Req Id,Job Id,Country,State,City
"Manager, Qlik Administrator",Business Support Services,,49387 - 83,1318,united states, tx, dallas
"Manager, Deal Advisory and Strategy Analytics, Power BI Designer",Advisory,,49397 - 64,1319,united states, ny, new york
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 16,1320,united states, co, denver
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 19,1321,united states, dc, washington
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 26,1322,united states, ga, atlanta
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 30,1323,united states, il, chicago
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 57,1324,united states, nj, short hills
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 6,1325,united states, ca, irvine
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 64,1326,united states, ny, new york
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 7,1327,united states, ca, los angeles
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 73,1328,united states, pa, philadelphia
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 83,1329,united states, tx, dallas
"Senior Associate, Cloud Native Developer",Advisory,,49398 - 92,1330,united states, va, mclean
"Director, Evidence & Discovery Management",Advisory,,49429 - 64,1331,united states, ny, new york
"Manager, Oracle Cloud Payroll Lead",Advisory,,49438 - 10,1332,united states, ca, san francisco
"Manager, Oracle Cloud Payroll Lead",Advisory,,49438 - 16,1333,united states, co, denver
"Manager, Oracle Cloud Payroll Lead",Advisory,,49438 - 23,1334,united states, fl, orlando
"Manager, Oracle Cloud Payroll Lead",Advisory,,49438 - 30,1335,united states, il, chicago
"Manager, Oracle Cloud Payroll Lead",Advisory,,49438 - 39,1336,united states, ma, boston
"Manager, Oracle Cloud Payroll Lead",Advisory,,49438 - 82,1337,united states, tx, austin
"Manager, Oracle Cloud Payroll Lead",Advisory,,49438 - 83,1338,united states, tx, dallas
"Manager, Oracle Cloud Payroll Lead",Advisory,,49438 - 86,1339,united states, tx, houston
"Senior Associate, Cloud Native Development",Advisory,,49455 - 19,1340,united states, dc, washington
"Senior Associate, Cloud Native Development",Advisory,,49455 - 26,1341,united states, ga, atlanta
"Senior Associate, Cloud Native Development",Advisory,,49455 - 30,1342,united states, il, chicago
"Senior Associate, Cloud Native Development",Advisory,,49455 - 4,1343,united states, az, phoenix
"Senior Associate, Cloud Native Development",Advisory,,49455 - 48,1344,united states, nc, charlotte
"Senior Associate, Cloud Native Development",Advisory,,49455 - 6,1345,united states, ca, irvine
"Senior Associate, Cloud Native Development",Advisory,,49455 - 64,1346,united states, ny, new york
"Senior Associate, Cloud Native Development",Advisory,,49455 - 79,1347,united states, tn, knoxville
"Senior Associate, Cloud Native Development",Advisory,,49455 - 83,1348,united states, tx, dallas
"Senior Associate, Cloud Native Development",Advisory,,49455 - 92,1349,united states, va, mclean
"Director, Actuarial",Advisory,,49460 - 64,1350,united states, ny, new york
Senior Associate FS Regulatory & Compliance - Banking,Advisory,,49472 - 64,1351,united states, ny, new york
"Manager,  Forensics Regulatory & Compliance- HCLS",Advisory,,49473 - 64,1352,united states, ny, new york
"Associate Director, Cloud Security Architect",Business Support Services,,49474 - 26,1353,united states, ga, atlanta
"Associate Director, Cloud Security Architect",Business Support Services,,49474 - 83,1354,united states, tx, dallas
Identity & Access Management Architect,Business Support Services,,49488 - 26,1355,united states, ga, atlanta
Identity & Access Management Architect,Business Support Services,,49488 - 45,1356,united states, mo, saint louis
Identity & Access Management Architect,Business Support Services,,49488 - 83,1357,united states, tx, dallas
"Manager, Oracle Cloud HCM - Recruiting Cloud Functional Lead",Advisory,,49556 - 26,1358,united states, ga, atlanta
"Manager, Oracle Cloud HCM Time & Labor",Advisory,,49557 - 30,1359,united states, il, chicago
"Manager, SAP S/4 HANA Order to Cash",Advisory,,49560 - 30,1360,united states, il, chicago
"Manager, SAP S/4 HANA Order to Cash",Advisory,,49560 - 39,1361,united states, ma, boston
"Manager, SAP S/4 HANA Order to Cash",Advisory,,49560 - 54,1362,united states, nj, montvale
"Manager, SAP S/4 HANA Order to Cash",Advisory,,49560 - 64,1363,united states, ny, new york
"Manager, Data Quality",Business Support Services,,49563 - 54,1364,united states, nj, montvale
"Manager, Data Quality",Business Support Services,,49563 - 58,1365,united states, nj, woodcliff lake
"Manager,  Privileged Access Management (PAM)",Advisory,,49581 - 10,1366,united states, ca, san francisco
"Manager,  Privileged Access Management (PAM)",Advisory,,49581 - 97,1367,united states, wa, seattle
"Manager, Data Lake Enablement",Business Support Services,,49597 - 64,1368,united states, ny, new york
"Manager, Data Lake Enablement",Business Support Services,,49597 - 92,1369,united states, va, mclean
"Manager, Data Lake Solutions",Business Support Services,,49598 - 64,1370,united states, ny, new york
"Manager, Data Lake Solutions",Business Support Services,,49598 - 92,1371,united states, va, mclean
"Manager, ERP (SAP FICO)",Business Support Services,,49610 - 30,1372,united states, il, chicago
"Manager, ERP (SAP FICO)",Business Support Services,,49610 - 83,1373,united states, tx, dallas
"Manager, Lead Oracle Cloud Architect",Advisory,,49614 - 10,1374,united states, ca, san francisco
"Manager, Lead Oracle Cloud Architect",Advisory,,49614 - 30,1375,united states, il, chicago
"Manager, Lead Oracle Cloud Architect",Advisory,,49614 - 83,1376,united states, tx, dallas
